identifier,remarks,default enu eng,de,it
TCOTD_TITLE,,The City of the Damned 2 - Apocalypse,Die Stadt der Verdammten 2 - Apokalypse,La Città dei Dannati 2 - Apocalisse
LEVELNAME_MAP01,,$$TCOTD_TITLE,$$TCOTD_TITLE,$$TCOTD_TITLE
TCOTDPLAYER_DISPLAYNAME,,Wanderer,Wanderer,Vagabondo
TXT_YOU_DIED,,YOU DIED,DU BIST TOT,SEI MORTO
SECRETMESSAGE,,\cUYou have found a \cCsecret\cU!\c-,\cUDu hast ein \cCGeheimnis\cU entdeckt!\c-,\cUHai trovato un \cCsegreto\cU!\c-
CONFIRM_NORMAL,,The recommended difficulty for The City of the Damned 2: Apocalypse.\n\nPlay on normal difficulty?,Der empfohlene Schwierigkeitsgrad für The City of the Damned 2: Apocalypse.\n\nWillst du auf diesem Schwierigkeitsgrad spielen?,La difficoltà raccomandata per La Città dei Dannati 2: Apocalisse.\n\nGiocare a difficoltà normale?
CONFIRM_HARD,,Enemies deal 1.5x more damage and are slightly more aggressive.\n\nPlay on hard difficulty?,"Feinde verursachen 1,5-fachen Schaden und sind etwas aggressiver.\n\nWillst du auf diesem Schwierigkeitsgrad spielen?",I nemici infliggono 1.5x danno aggiuntivo e sono leggermente più aggressivi.\n\nGiocare a difficoltà difficile?
CONFIRM_NIGHTMARE,,Enemies deal 2x more damage and are very aggressive.\n\nAre you ready to face your worst nightmares?,"Feinde verursachen 2-fachen Schaden und sind sehr aggressiv.\n\nBist Du bereit, Dich deinem schlimmsten Alptraum zu stellen?",I nemici infliggono 2x danno aggiuntivo e sono veramente aggressivi.\n\nSei pronto ad affrontare i tuoi peggiori incubi?
SKILL_TCOTD2_NORMAL,,\cCNormal,\cCNormal,\cCNormale
SKILL_TCOTD2_HARD,,\cCHard,\cCSchwer,\cCDifficile
SKILL_TCOTD2_NIGHTMARE,,\cCNitemare,\cCAlptraum,\cCIncubo
OPTMNU_ENH,,Enhanced Options,Erweiterte Einstellungen,Opzioni Avanzate
MN_OPTCTRL,,Controls,Steuerung,Controlli
M_NGAME,,New Game,Neues Spiel,Nuovo Gioco
M_LOADG,,Load Game,Spiel laden,Carica Gioco
M_SAVEG,,Save Game,Spiel speichern,Salva Gioco
M_TCOTD2,,Enh. Options,Erw. Einstellungen,Opzioni Av.
M_OPTION,,Options,Einstellungen,Opzioni
M_QUITG,,Quit Game,Spiel beenden,Esci dal Gioco
MNU_INFO,,Read me,Lies mich,Leggimi
CNTRLMNU_OPEN_HELP,,View journal,Tagebuch ansehen,Guarda giornale
MN_OPQUICKHEAL,,Quick heal,Schnell-Heilung,Cura rapida
MN_QUICKHEALPREF,,Quick healing preference,Auswahl für Schnell-Heilung,Cura rapida preferenza
OPTVAL_QUICKHEALSMALL,,$$TAG_STIMPACK,$$TAG_STIMPACK,$$TAG_STIMPACK
OPTVAL_QUICKHEALBIG,,$$TAG_MEDIKIT,$$TAG_MEDIKIT,$$TAG_MEDIKIT
MN_OPTCOD,,Effects,Effekte,Effetti
MN_OPWEAT,,Weather effects,Wettereffekte,Effetti Atmosferici
MN_OPFOG,,Fog,Nebel,Nebbia
MN_OPUNDERWATERWARP,,Underwater warp,Unterwasser Verzerrung,Distorsione subacquea
MN_OPHEAT,,Heat haze,Hitzedunst,Foschia del calore
MN_OPBLUR,,Motion blur,Bewegungsunschärfe,Sfocatura movimento
MN_TILT,,View tilting,Kippen der Ansicht,Ondeggiamento visuale
MN_SWAY,,Weapon sway,Schwenken der Waffe,Slittamento arma
MN_VIEWKICK,,Weapon view kick,Waffenrückstoß,Movimento arma
,Keys,,,
EYE_D,,\cCYou need the \cWeye key\cC to open this door\c-,"\cCDu brauchst den \cWAugenschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cWchiave ad occhio\cC per aprire questa porta\c-
EYE_O,,\cCYou need the \cWeye key\cC to activate this object\c-,"\cCDu brauchst den \cWAugenschlüssel\cC, um dieses Objekt zu betätigen\c-",\cCHai bisogno della \cWchiave ad occhio\cC per attivare questo oggetto\c-
FIRE_D,,\cCYou need the \cIfire key\cC to open this door\c-,"\cCDu brauchst den \cIFeuerschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cIchiave di fuoco\cC per aprire questa porta\c-
FIRE_O,,\cCYou need the \cIfire key\cC to activate this object\c-,"\cCDu brauchst den \cIFeuerschlüssel\cC, um dieses Objekt zu betätigen\c-",\cCHai bisogno della \cIchiave di fuoco\cC per attivare questo oggetto\c-
KNIFE_D,,\cCYou need the \cUdagger key\cC to open this door\c-,"\cCDu brauchst den \cUDolchschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cUchiave a coltello\cC per aprire questa porta\c-
KNIFE_O,,\cCYou need the \cUdagger key\cC to activate this object\c-,"\cCDu brauchst den \cUDolchschlüssel\cC, um dieses Objekt zu betätigen\c-",\cCHai bisogno della \cUchiave a coltello\cC per attivare questo oggetto\c-
MOON_D,,\cCYou need the \cFmoon key\cC to open this door\c-,"\cCDu brauchst den \cFMondschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cFchiave a luna\cC per aprire questa porta\c-
MOON_O,,\cCYou need the \cFmoon key\cC to activate this object\c-,"\cCDu brauchst den \cFMondschlüssel\cC, um dieses Objekt zu betätigen\c-",\cCHai bisogno della \cFchiave a luna\cC per attivare questo oggetto\c-
SAFE_D,,\cCYou need the \cJsafe key\cC to open the safe\c-,"\cCDu brauchst einen \cJSchlüssel\cC, um den Tresor zu öffnem\c-",\cCHai bisogno della \cJchiave sicura\cC per aprire la cassaforte\c-
SAFE_O,,$$SAFE_D,$$SAFE_D,$$SAFE_D
SKULL_D,,\cCYou need the \cEskull key\cC to open this door\c-,"\cCDu brauchst den \cESchädelschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cEchiave a teschio\cC per aprire questa porta\c-
SKULL_O,,\cCYou need the \cEskull key\cC to activate this object\c-,"\cCDu brauchst den \cESchädelschlüssel\cC, um dieses Objekt zu nutzen\c-",\cCHai bisogno della \cEchiave a teschio\cC per attivare questo oggetto\c-
SPIDER_D,,\cCYou need the \cAspider key\cC to open this door\c-,"\cCDu brauchst den \cASpinnenschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cAchiave a ragno\cC per aprire questa porta\c-
SPIDER_O,,\cCYou need the \cAspider key\cC to activate this object\c-,"\cCDu brauchst den \cASpinnenschlüssel\cC, um dieses Objekt zu betätigen\c-",\cCHai bisogno della \cAchiave a ragno\cC per attivare questo oggetto\c-
DIAMOND_O,,\cCYou need a \cJflawless diamond\cC to use this object\c-,"\cCDu brauchst einen \cJmakellosen Diamanten\cC, um dieses Objekt zu benutzen.\c-",\cCHai bisogno di un \cJdiamante perfetto\cC per usare questo oggetto\c-
THAMUZ_O,,\cCYou need the \cDskull of Thamuz\cC to use this object\c-,"\cCDu brauchst den \cDSchädel des Thasmuz\cC, um dieses Objekt zu benutzen.\c-",\cCHai bisogno del \cDteschio di Thamuz\cC per usare questo oggetto\c-
HOURGLASS_O,,\cCYou need \cBGaul's Hourglass of Dimensions\cC to use this object\c-,"\cCDu brauchst den \cBGauls Sanduhr\cC, um dieses Objekt zu benutzen.\c-",\cCHai bisogno della \cBClessidra delle Dimensioni di Gaul\cC per usare questo oggetto\c-
LIBRARY_H,,\cCThis door doesn't have enough \cJpower\cC to be opened\c-,\cCDiese Türe hat nicht genug \cJStrom\cC um geöffnet zu werden\c-,\cCQuesta porta non ha abbastanza \cJpotere\cC per essere aperta\c-
,Puzzles,,,
CISTERN_NO,,\cCNothing happens. Something went wrong.\c-,\cCNichts ist passiert. Irgendetwas ist schief gelaufen.\c-,\cCNon succede nulla. Qualcosa è andato per il verso sbagliato.\c-
POWER_LIB_RESTORED,,The power to the library has been restored.,Die Stromversorgung der Bibliothek wurde wiederhergestellt.,Il potere nella libreria è stato ripristinato.
TENT_GATE_BLOCK,,These gates are of hindrance to you...,Diese Tore sind ein Hindernis für dich...,Questi cancelli rappresentano un ostacolo per te...
TENT_GATE_REMOVED,,\cCThe gates of hindrance are no more. The other dimension beckons you...\c-,\cCDie Pforten des Hindernisses sind nicht mehr. Die andere Dimension erwartet dich...\c-,\cCI cancelli ostacolanti non esistono più. L'altra dimensione ti chiama...\c-
HOSP_BAMBOOZLE,,You could have sworn there was a passage here...,"Du hättest schwören können, dass es hier einen Durchgang gab...",Avresti giurato che c'era un passaggio da queste parti...
MANSION_BOOK_TOO_DARK,,It's too dark to see anything in here...,"Es ist zu dunkel, um hier drinnen etwas zu sehen...",È troppo buio per vederci qualcosa...
MANSION_LIT1,,\cCThe reading room has been lit.\c-,\cCDer Lesesaal wurde erleuchtet.\c-,\cCLa sala letture è stata illuminata.\c-
,Obituaries - Foes,,,
HB_BEAST,,%o was torn apart by a beast.,%o wurde von einer Bestie zerrissen.,%o è stato fatto a pezzi da una bestia.
HB_FATY,,%o was sliced by a zombie.,%o wurde von einem Zombie aufgeschlitzt.,%o è stato affettato da uno zombi.
HB_HOUN,,A hellhound had %o for dinner.,Ein Höllenhund hatte %o zum Abendessen.,Un mastino infernale ha avuto %o per cena.
HB_INCA,,%o was beaten to death by a death incarnate. ,%o wurde von einem fleischgewordenen Tod zu Tode geprügelt.,NOT USED
OB_NITE,,%o was tormented by a nightmare.,%o wurde von einem Albtraum gequält.,%o è stato tormentato da un'incubo.
HB_VULG,,A vulgar had %o for lunch.,Ein Vulgar hatte %o zum Mittagessen.,Un vulgar ha avuto %o per pranzo.
OB_ADSP,,%o was spooked by the apprentice.,%o wurde von dem Lehrling erschreckt.,%o è stato spaventato da un'apprendista.
OB_BEAST,,%o was swept off %p feet by a beast. ,%o wurde von einer Bestie von den Füßen gefegt %p.,NOT USED
OB_BSPID,,%o was killed by a big spider.,%o wurde von einer großen Spinne getötet.,%o è stato ucciso da un ragno grande.
OB_CELLAR,,%o slept and never woke up.,%o schlief und wachte nicht mehr auf.,%o si addormentò e non si risvegliò più.
OB_CUL2,,%o was shot by a cultist with a shotgun.,%o wurde von einem Kultisten mit einer Schrotflinte erschossen.,%o è stato sparato da un cultista col fucile.
OB_CULT,,%o was shot by a cultist with a thompson.,%o wurde von einem Kultisten mit einem Thompson erschossen.,%o è stato sparato da un cultista con un thompson.
OB_ESOL,,%o's soul was leeched by an etheral soul.,%o's soul was leeched by an etheral soul.,L'anima di %o è stata consumata da un'anima eterea.
OB_FATY,,%o couldn't evade a zombie's puke.,%o konnte der Kotze eines Zombies nicht ausweichen.,%o non ha saputo schivare il vomito di zombi.
OB_GHUL,,%o got knocked out by a ghoul.,%o wurde von einem Ghoul niedergeschlagen.,%o è stato buttato giù da un ghoul.
OB_HADE,,%o was blown away by a hades sphere.,%o wurde von einer Hadeskugel weggeblasen.,%o è stato volatilizzato da una sfera dell'Ade.
OB_HARV,,%o couldn't evade a soul harvester's attack.,%o konnte dem Angriff eines Soul Harvesters nicht ausweichen.,%o non ha saputo schivare l'attacco del mietitore di anime.
OB_HOUN,,%o was burned alive by a hellhound.,%o wurde von einem Höllenhund lebendig verbrannt.,%o è stato bruciato vivo da un mastino infernale.
OB_INCA,,%o was killed by a death incarnate's glaring eyes.,%o wurde von den gleißenden Augen eines leibhaftigen Todes getötet.,%o è stato ucciso dagli occhi luccicanti dell'incarnazione mortale.
OB_MSPID,,%o was bitten to death by a spider.,%o wurde von einer Spinne zu Tode gebissen.,%o è stato morso fino alla morte da un ragno.
OB_SHDW,,%o was assasinated by a shadow.,%o wurde von einem Schatten ermordet.,%o è stato assassinato da un'ombra.
OB_STOMP,,%o danced with the stars.,%o tanzte mit den Sternen.,%o ballò con le stelle.
OB_TENT,,%o was cut in half by a ghostly tendril.,%o wurde von einer geisterhaften Ranke in zwei Hälften geschnitten.,%o è stato tagliato a metà da un tentacolo spettrale.
OB_TCHE,,%o fell before Thamuzbog.,%o ging vor Thamuzbog auf die Knie.,%o perì per mano di Thamuzbog.
OB_THAM,,%o fell before Thamuz.,%o ging vor Thamuz auf die Knie.,%o perì per mano di Thamuz.
OB_THRL,,%o was killed by a lowly cultist.,%o wurde von einem niederen Kultisten getötet.,%o è stato ucciso da un cultista inferiore.
OB_VENOR,,%o has been dragged to hell by a venor.,%o wurde von einem Venor in die Hölle gezerrt.,%o è stato trascinato all'inferno da un venor.
OB_VULG,,%o was poisoned by a vulgar.,%o wurde von einem Vulgar vergiftet.,%o è stato avvelenato da un vulgar.
OB_WRTH,,A wraith had its way with %o.,Ein Gespenst hat sich mit %o angelegt.,Uno spettro ha avuto la meglio su %o.
OB_ZOMB,,%o was slaughtered by a zombie.,%o wurde von einem Zombie abgeschlachtet.,%o è stato maciullato da uno zombi.
OB_QUEEN,,%o succumbed to the spider queen.,%o erlag der Spinnenkönigin.,%o cedette al ragno regina.
,Friendly names for monsters,,,
FN_ADSP,,Apprentice,Apprentice,Apprendista
FN_BEAST,,Beast,Bestie,Bestia
FN_BSPID,,Big Spider,Große Spinne,Ragno Grande
FN_CUL2,,Cultist,Kultisten,Cultista
FN_CULT,,$$FN_CUL2,$$FN_CUL2,$$FN_CUL2
FN_ESOL,,Etheral Soul,Ätherseele,Anima Eterea
FN_FATY,,Zombie,Zombie,Zombi
FN_GHUL,,Ghoul,Ghul,Ghoul
FN_HADE,,Hades Sphere,Hades-Kugel,Sfera dell'Ade
FN_HARV,,Soul Harvester,Seelenernter,Mietitore di Anime
FN_HOUN,,Hellhound,Höllenhund,Mastino Infernale
FN_INCA,,Death Incarnate,Leibhaftiger Tod,Incarnazione Mortale
FN_MSPID,,Spider,Spinne,Ragno
FN_NITE,,Nightmare,Alptraum,Incubo
FN_SHDW,,Shadow,Schatten,Ombra
FN_TENT,,Tentacle,Tentakel,Tentacolo
FN_THAM,,Thamuz,Thamuz,Thamuz
FN_THRL,,$$FN_CUL2,$$FN_CUL2,$$FN_CUL2
FN_VENOR,,Venor,Venor,Venor
FN_VULG,,Vulgar,Vulgar,Vulgar
FN_WRTH,,Wraith,Gespenst,Spettro
FN_ZOMB,,Zombie,Zombie,Zombi
FN_QUEEN,,Spider Queen,Spinnenkönigin,Ragno Regina
,Inventory Tags,,,
TAG_STIMPACK,,Small Medikit,Kleines Medikit,Piccolo Medikit
TAG_MEDIKIT,,Large Medikit,Großes Medikit,Grande Medikit
TAG_ANTIDOTE,,Antidote,Gegengift,Antidoto
TAG_TRANSBOOK,,Translation Book,Übersetzungsbuch,Libro di Traduzione
TAG_SAFEKEY,,Safe Key,Tresorschlüssel,Chiave per Casseforti
TAG_THAMUZKEY,,Skull of Thamuz,Schädel des Thamuz,Teschio di Thamuz
TAG_HOURGLASSKEY,,Gaul's Hourglass of Dimensions,Gauls Sanduhr der Dimensionen,Clessidra delle Dimensioni di Gaul
TAG_DIAMONDKEY,,Flawless Diamond,Makelloser Diamant,Diamante Impeccabile
TAG_MELEE_FIST,,Fists,Fäuste,Pugni
TAG_MELEE_PITCHFORK,,Pitchfork,Mistgabel,Forcone
TAG_PIST,,Revolver,Revolver,Revolver
TAG_SAWA,,Sawed-Off,Schrotflinte,Fucile a Canne Mozze
TAG_THOM,,Thompson,Thompson,Thompson
TAG_NAPA,,Napalm Launcher,Napalmwerfer,Lanciatore di Napalm
TAG_LANTERN,,Lantern,Laterne,Lanterna
TAG_PENDANT,,Pendant of Ill Omen,Amulett des dunklen Omens,Ciondolo del Malaugurio
TAG_JOURNAL,,My journal,Mein Tagebuch,Mio giornale
AMMO_BULLET,,Bullet,Kugel,Proiettile
AMMO_SHELL,,Shell,Flintenkugeln,Cartuccia
AMMO_NAPALM,,Napalm,Napalm,Napalm
,Obituaries - Weapons,,,
OB_FORK,,%o was perforated by %k's pitchfork.,%o wurde von %k's Mistgabel durchbohrt.,%o è stato perforato dal forcone di %k.
OB_NAPA,,%o rode %k's flame blast.,%o ritt %k's Flammenstoß.,%o cavalcò l'esplosione di fiamme di %k.
OB_PIST,,%o met %k's big iron.,%o traf %k's großes Eisen.,%o incontrò il ferro grosso di %k.
OB_SAWA,,%o chewed on %k's sawed-off.,%o kaute auf %k's abgesägter Flinte herum.,%o è stato dilaniato dal fucile a canne mozze di %k.
OB_THOM,,%o was mowed down by %k's Thompson.,%o wurde von %k's Thompson niedergemäht.,%o è stato falciato dal Thompson di %k.
,Pickups Messages,,,
IP_ANTIDOTE,,Picked up an antidote.,Gegengift gefunden.,Raccolgo l'antidoto.
IP_BODYARMOR,,Picked up a body armor.,Schutzweste gefunden.,Raccolgo l'armatura per corpo.
IP_DIAMONDKEY,,Picked up a flawless diamond.,Makellosen Diamant gefunden.,Raccolgo un diamante impeccabile.
IP_ESSE,,Picked up a life essence.,Lebensessenz gefunden.,Raccolgo una essenza vitale.
IP_EYEKEY,,Picked up the eye key.,Augenschlüssel gefunden.,Raccolgo la chiave ad occhio.
IP_FIREKEY,,Picked up the fire key.,Feuerschlüssel gefunden.,Raccolgo la chiave del fuoco.
IP_FORK,,Picked up a pitchfork.,Mistgabel gefunden.,Raccolgo un forcone.
IP_HOURGLASSKEY,,Picked up Gaul's Hourglass of Dimensions.,Gauls Sanduhr der Dimensionen gefunden.,Raccolgo la Clessidra delle Dimensioni di Gaul.
IP_KNIFEKEY,,Picked up the dagger key.,Dolchschlüssel gefunden.,Raccolgo la chiave a coltello.
IP_LANT,,You found a lantern. Use it wisely.,Laterne gefunden. Nutze sie weise.,Hai trovato una lanterna. Utilizzala saggiamente.
IP_LANT_NEEDS_OIL,,The lantern needs oil.,Die Laterne braucht Petroleum.,La lanterna necessita di olio.
IP_LANT_UNDERWATER,,Can't use the lantern while in water.,Laterne kann unter Wasser nicht verwendet werden.,Non puoi usare la lanterna sott'acqua.
IP_LOIL,,Picked up an oil flask for lanterns.,Petroleum für die Laterne gefunden.,Raccolgo una fiasca d'olio per lanterne.
IP_MEDI,,Picked up a large medikit.,Großes Medikit gefunden.,Raccolgo un medikit grande.
IP_MOONKEY,,Picked up the moon key.,Mondschlüssel gefunden.,Raccolgo una chiave di luna.
IP_NAP2,,Picked up a napalm canister.,Napalm Kanister gefunden.,Raccolgo un contenitore napalm.
IP_NAPA,,You got the napalm launcher!,Napalmwerfer gefunden!,Hai preso il lanciatore di napalm!
IP_PENDANT,,Picked up the Pendant of Ill Omen.,"Amulett des dunklen Omens gefunden,",Raccolgo il Ciondolo del Malaugurio.
IP_PIS2,,Picked up a revolver speedloader.,Revolver-Schnelllader gefunden.,Raccolgo il caricatore veloce per revolver.
IP_PIST,,You got the revolver.,Revolver gefunden.,Hai preso il revolver.
IP_SAFEKEY,,Picked up the safe key.,Tresorschlüssel gefunden.,Raccolgo la chiave per casseforti.
IP_SAWA,,You got the sawed-off!,Schrotflinge gefunden.,Hai preso il fucile a canne mozze!
IP_SHEL,,Picked up two shotgun shells.,Zwei Schrotflintenhülsen gefunden.,Raccolgo due cartucce per fucile.
IP_SHL2,,Picked up a box of shotgun shells.,Eine Box mit Schrotflintenmunition gefunden.,Raccolgo una scatola di cartucce per fucile.
IP_SKULLKEY,,Picked up the skull key.,Schädelschlüssel gefunden.,Raccolgo la chiave a teschio.
IP_SPIDERKEY,,Picked up the spider key.,Spinnenschlüssel gefunden.,Raccolgo la chiave a ragno.
IP_STIM,,Picked up a small medikit.,Kleines Medikit gefunden.,Raccolgo un medikit piccolo.
IP_SUPERARMOR,,Picked up the super armor!,Super-Rüstung gefunden!,Raccolgo la super armatura!
IP_THAMUZKEY,,Picked up the skull of Thamuz.,Schädel des Thamuz gefunden.,Raccolgo il teschio di Thamuz.
IP_THO2,,Picked up some Thompson ammo.,Thompsonmunition gefunden.,Raccolgo alcune munizioni per Thompson.
IP_THOM,,You got the Thompson!,Thompson gefunden.,Hai preso il Thompson!
IP_TRANSBOOK,,Picked up the translation book.,Übersetzungsbuch gefunden.,Raccolgo il libro per traduzioni.
IP_JOURNAL,,Picked up my journal.,Tagebuch gefunden.,Raccolgo il mio giornale.
NONEEDQUICKHEAL,,You do not require healing.,Du brauchst keine Heilung.,Non hai bisogno di curarti.
NOQUICKHEAL,,No healing items.,Keine Heilmittel.,Nessun oggetto curativo.
USEDQUICKHEALITEM,,Used a %s.,%s verwendet.,Ha usato un %s.
POISON_INFLICT,,You have been poisoned!,Du wurdest vergiftet!,Sei stato avvelenato!
POISON_RECOVER,,You have recovered from the poison.,Du hast dich von dem Gift erholt.,Ti sei ripreso dall'avvelenamento.
ANTIDOTE_NOTNEEDED,,You do not need the antidote.,Du brauchst das Gegengift nicht.,Non hai bisogno dell'antidoto.
,Feel free to come up with a better-sounding sentence - Nash,,,
PENDANT_BROKE,,\cCThe \cRPendant of Ill Omen\cC shatters under the nightmare's influence!\c-,\cCDas \cRAmulett des dunklen Omens\cC zerschmettert unter dem Einfluss des Alptraums!\c-,\cCIl \cRCiondolo del Malaugurio\cC si frantuma sotto l'influenza dell'Incubo!\c-
,Pendant warning messages when nightmare approaches,,,
PENDANT_WARN1,,You feel slightly uneasy...,Du fühlst dich leicht unwohl...,Ti senti un pò a disagio...
PENDANT_WARN2,,You feel a dark tide approaching...,"Du spürst, dass eine dunkle Flut naht...",Senti qualcosa di oscuro avvicinarsi...
PENDANT_WARN3,,Evil fills the air. You must seek shelter immediately!,Das Böse liegt in der Luft. Du musst sofort Schutz suchen!,Qualcosa di maligno permea l'aria. Trova un nascondiglio immediatamente!
CHECKPOINT_ACTIVATED,,%s found a checkpoint!,%s hat einen Kontrollpunkt gefunden!,%s ha trovato un checkpoint!
COOP_PLAYER_RESPAWN,,%s lives again!,%s ist wieder am Leben!,%s rivive!
COOP_PLAYERS_SCATTERED,,You must gather your party before venturing forth...,"Du musst deine Gruppe versammeln, bevor du dich auf den Weg machst...",Devi formare la tua squadra prima di avventurarti oltre...
SURVIVAL_LIVES_LEFT,,Lives left: %d,Verbleibende Leben: %d,Vite rimaste: %d
SURVIVAL_DEAD,,All players are dead! Restarting in %d...,Alle Spieler sind tot! Neustart in %d...,Tutti i giocatori sono morti! Ricomincia in %d...
COOPSECRETMESSAGE,,%s revealed a secret!,%s hat ein Geheimnis gelüftet!,%s ha rivelato un segreto!
,Objectives,,,
OBJECTIVE_DEFAULT,,Default objective,Standardziel,Obbiettivo Default
OBJECTIVE_ALIANNA,,Find the abducted woman,Finde die entführte Frau,Trova la donna rapita
OBJECTIVE_OPENTHESAFE,,Open the safe,Öffne den Tresor,Apri la cassaforte
OBJECTIVE_INVESTIGATEDOG,,Investigate the strange noises at the center of town,Untersuche die seltsamen Geräusche im Stadtzentrum,Indaga sui strani rumori al centro della città
OBJECTIVE_INVESTIGATEGRAVE,,Investigate the marked grave,Untersuche das markierte Grab,Indaga sulla lapide contrassegnata
OBJECTIVE_INVESTIGATELAB,,Look for the hidden room inside the science lab,Suche nach dem versteckten Raum im Labor,Cerca una stanza segreta all'interno del laboratorio scientifico
OBJECTIVE_SOLVECHURCHPUZZLE,,Learn how to enter the church safely,"Finde heraus, wie du die Kirche sicher betreten kannst",Comprendi come entrare nella chiesa in modo sicuro
OBJECTIVE_FINDLANTERN,,Find a source of light,Finde eine Lichtquelle,Trova una fonte di luce
OBJECTIVE_EXITCISTERN,,Find a way to leave the cistern,Finde einen Weg aus der Zisterne,Trova un modo per andare via dalla cisterna
OBJECTIVE_FINDSANCTUM,,Enter the Darkmoon's inner sanctum deep within the hospital,Entdecke das verborgene Heiligtum der Sekte unter dem Krankenhaus,Entra nel santuario interiore di LunaOscura nei bassifondi dell'ospedale
OBJECTIVE_THAMUZBOOK1,,Learn how to read the strange tome in the sanctum,Finde einen Weg den seltsamen Foliant im Heiligtum zu lesen,Comprendi come decifrare lo strano tomo nel santuario
OBJECTIVE_THAMUZBOOK2,,Find a book about the occult somewhere within the mansion,"Finde das okkulte Buch, das im Herrenhaus versteckt ist",Trova un libro riguardo l'occulto da qualche parte nella dimora
OBJECTIVE_THAMUZBOOK3,,Read the strange tome within the inner sanctum,Lese den seltsamen Foliant im Heiligtum,Leggi lo strano tomo nel santuario interiore
OBJECTIVE_SUMMONTHAMUZ,,Summon the Arch-Demon Thamuz,Beschwöre den Erzdämon Thamuz,Evoca l'Arci-Demone Thamuz
OBJECTIVE_FINDTHAMUZSKULL,,Acquire the skull of Thamuz,Finde den Schädel von Thamus,Acquisisci il teschio di Thamuz
OBJECTIVE_FINDDIAMOND,,Acquire a flawless diamond,Finde einen makellosen Diamanten,Acquisisci il diamante impeccabile
OBJECTIVE_FINDHOURGLASS,,Acquire Gaul's Hourglass of Dimensions,Finde Gauls Sanduhr der Dimensionen,Acquisisci la Clessidra delle Dimensioni di Gaul
OBJECTIVE_KILLTHAMUZ,,Defeat the Arch-Demon Thamuz,Besiege den Erzdämon Thamuz,Sconfiggi l'Arci-Demone Thamuz
,Notes,,,
NOTEPAGEINDICATOR,,Page: %d/%d,Seite: %d/%d,Pagina: %d/%d
NOTE_DEFAULT,,Default note,Standardhinweis,Appunto standard
NOTE_TXT_DEFAULT,,This is a default note.,Dies ist ein Standardhinweis,Questo è un appunto standard.
NOTE_MANSIONNOTE,,Letter to Claire,Brief an Claire,Lettera a Claire
