identifier,remarks,default enu eng,de,it
NOTE_TXT_MANSIONNOTE,,"My darling Claire,\n\nSorry I worried you earlier. Thank God I had my knife with me to scare it away, or I might not be here right now. It's really nothing to get upset about... just a bite. I'm sure the bleeding will stop soon for good, and then we can forget all about it.\n\nMartin's been making a lot of noise in his room today. He must be so hungry, it's been almost three days. I try talking to him through the door. I tell him we're sorry and that we both still love him, but it's like he isn't there anymore... it's like our son is gone, and there's something else in his place. He hit the door so hard I thought he was going to break out, but the lock has held out so far. The noises he makes... inhuman, like a wild animal. Claire, I'm growing so afraid of him I can barely stand to be in the house. Yet he is still our son, and I love him as I always have. I know you do too, darling, and I tell him so.\n\nWhat has become of this place? And what's become of us, that we keep our only child under lock and key? Sometimes I think we'd all be better off if we just went outside when the siren sounds... at least we'd be together at the end, as a family.\n\nOh ignore me. I'm just feeling a bit weak right now. I'll pop out later to get more dressing for the wound. I love you.\n\nYours forever,\nSteven","Meine liebe Claire, es tut mir leid, dass ich dich vorhin beunruhigt habe. Gott sei Dank hatte ich mein Messer dabei, um es zu verscheuchen, sonst wäre ich jetzt vielleicht nicht hier. Es ist wirklich nichts, worüber man sich aufregen müsste... nur ein Biss. Ich bin sicher, die Blutung wird bald aufhören, und dann können wir das Ganze vergessen.\n\nMartin hat heute viel Lärm in seinem Zimmer gemacht. Er muss so hungrig sein, es sind schon fast drei Tage vergangen. Ich versuche, durch die Tür mit ihm zu reden. Ich sage ihm, dass es uns leid tut und dass wir ihn beide immer noch lieben, aber es ist, als wäre er nicht mehr da... es ist, als wäre unser Sohn weg, und an seiner Stelle ist etwas anderes. Er hat so fest gegen die Tür geschlagen, dass ich dachte, er würde ausbrechen, aber das Schloss hat bis jetzt gehalten. Die Geräusche, die er macht... unmenschlich, wie ein wildes Tier. Claire, ich habe solche Angst vor ihm, dass ich mich kaum noch im Haus halten kann. Aber er ist immer noch unser Sohn, und ich liebe ihn, wie ich es immer getan habe. Ich weiß, dass du ihn auch liebst, und das sage ich ihm auch. Was ist aus diesem Ort geworden? Und was ist aus uns geworden, dass wir unser einziges Kind hinter Schloss und Riegel halten? Manchmal denke ich, dass wir alle besser dran wären, wenn wir einfach rausgehen würden, wenn die Sirene ertönt... dann wären wir am Ende wenigstens zusammen, als Familie. Aber... ignorier mich. Ich fühle mich im Moment nur etwas schwach und verliere mich in meinen dunklen Gedanken. Ich gehe später raus, um mehr Verbandszeug für die Wunde zu holen. Ich liebe dich. \n\nDeiner für immer,\nSteven","Mia cara Claire,\n\nScusa se ti ho fatto preoccupare prima. Grazie a Dio avevo con me il coltello per spaventarlo, altrimenti avrei potuto non essere qui in questo momento. Non c'è davvero niente di cui arrabbiarsi... solo un morso. Sono sicuro che l'emorragia si fermerà presto per sempre, e poi potremo dimenticarci di tutto.\n\nMartin ha fatto molto rumore nella sua stanza oggi. Deve essere così affamato, sono passati quasi tre giorni. Provo a parlargli attraverso la porta. Gli dico che ci dispiace e che lo amiamo ancora tutti e due, ma è come se non ci fosse più... è come se nostro figlio se ne fosse andato, e al suo posto ci fosse qualcos'altro. Ha colpito la porta così forte che ho pensato che stesse per scappare, ma finora la serratura ha resistito. I rumori che fa... disumani, come quelli di un animale selvatico. Claire, sto diventando così spaventato da lui che riesco a malapena a sopportare di stare in casa. Eppure è ancora nostro figlio e lo amo come sempre. So che è lo stesso per te, tesoro, e glielo ripeto.\n\nChe ne è stato di questo posto? E che ne è stato di noi, che teniamo il nostro unico figlio sotto chiave? A volte penso che staremmo tutti meglio se uscissimo fuori quando suona la sirena... almeno saremmo insieme alla fine, come una famiglia.\n\nOh, lasciami perdere. È solo che mi sento un pò debole in questo momento. Uscirò più tardi per prendere altra medicazione per la ferita. Ti amo.\n\nTuo per sempre,\nSteven"
NOTE_HOSPITALNOTE,,Hospital note,Notiz im Krankenhaus,Appunto su Ospedale
NOTE_TXT_HOSPITALNOTE,,"Gone to library, need books about animal anatomy, mortuary keys with me, back soon\n\nDr. Zcikoff","Zur Bibliothek gegangen, brauche Bücher über Tieranatomie, habe den Schlüssel für die Leichenhalle mitt mir, bin bald zurück\n\n Dr. Zcikoff","Sono andato in biblioteca, mi servono libri sull'anatomia animale, ho con me le chiavi dell'obitorio, tornerò presto\n\nDr. Zcikoff"
NOTE_POSTMORTEM,,Steven Carter's post-mortem report,Der Obduktionsbericht von Steven Carter,Resoconto post-mortem di Steven Carter
NOTE_TXT_POSTMORTEM,,"CITY CORONER'S OFFICE\nREPORT OF POST-MORTEM EXAMINATION\nExamination by Dr. J Zcikoff, 3rd November 1916\n\nPatient: Carter, Steven [Deceased]\nDate of Birth: 13.09.1879\nDate of Death: 31.10.1916\n\nEXAMINER'S NOTES (continued)\n\nof the extremities revealed severe inflammation of the epidermis from the area around the left cubital to the area around the left ulna.\n\nThis area was the initial infection site, subsequently spreading to the vast majority of tissue in the body. I must stress that the rate of tissue decay appears to be faster than any case I can recall from my thirty-seven years in the medical profession.\n\nSevere tissue damage, contusion, and puncture wounds resembling an animal bite are evident on the subject's neck, around the area of the sternomastoid muscle.\n\nCase of death was massive organ failure. Preliminary reports suggest this was due to sepsis, however I have since noted high quantities of a previously unknown hemotoxin in the bloodstream. I have submitted blood and tissue samples to the laboratory for examination and I will be consulting the hospital lib-\n\n[the rest of this report is missing]","DAS BÜRO DES STÄDTISCHEN GERICHTSMEDIZINERS\nBericht über die Leichenschau\nUntersuchung durch Dr. J. Zcikoff, 3. November 1916\n\nPatient: Carter, Steven [Verstorbener]\nGeburtsdatum: 13.09.1879\nTodesdatum: 31.10.1916\n\nNOTIZZEN DES PATHOLOGEN (Fortsetzung)\n\nDie Untersuchung der Extremitäten ergab eine schwere Entzündung der Epidermis vom Bereich um die linke Ellenbeuge bis zum Bereich um die linke Elle.\n\nDieser Bereich war die primäre Infektionsstelle, die sich dann auf den größten Teil des Gewebes im Körper ausbreitete. Ich muss betonen, dass die Geschwindigkeit des Gewebezerfalls schneller zu sein scheint als bei jedem anderen Fall, an den ich mich in meinen siebenunddreißig Jahren in der Medizin erinnern kann.\n\nAm Hals der Person, im Bereich des Musculus sternomastoideus, sind schwere Gewebeschäden, Quetschungen und Einstichwunden zu erkennen, die einem Tierbiss ähneln.\n\nTodesursache war massives Organversagen. Vorläufige Berichte deuten darauf hin, dass dies auf eine Sepsis zurückzuführen ist, doch habe ich inzwischen hohe Mengen eines bisher unbekannten Hämotoxins im Blut festgestellt. Ich habe Blut- und Gewebeproben zur Untersuchung an das Labor geschickt und werde die Krankenhausbibliothek konsultieren.","UFFICIO MEDICO LEGALE DELLA CITTÀ\nRAPPORTO DELL'ESAME POST-MORTEM\nEsame effettuato dal dottor J Zcikoff, 3 novembre 1916\n\nPaziente: Carter, Steven [deceduto]\nData di nascita: 13.09.1879\nData di morte: 31.10.1916\n \nNOTE DELL'ESAMINATORE (continua)\n\ndelle estremità hanno rivelato una grave infiammazione dell'epidermide dall'area attorno al cubitale sinistro all'area intorno all'ulna sinistra.\n\nQuesta area è stata il sito iniziale dell'infezione, diffondendosi successivamente alla stragrande maggioranza di tessuto nel corpo. Devo sottolineare che il tasso di decadimento dei tessuti sembra essere più veloce di qualsiasi altro caso che possa ricordare nei miei trentasette anni di professione medica.\n\nGravi danni ai tessuti, contusioni e ferite da puntura simili a morsi di animali sono evidenti sul collo del soggetto, attorno all'area del muscolo sternomastoideo.\n\nLa causa della morte è stata un grave collasso degli organi. Rapporti preliminari suggeriscono che ciò fosse dovuto alla sepsi, tuttavia da allora ho notato elevate quantità di un'emotossina precedentemente sconosciuta nel flusso sanguigno. Ho inviato campioni di sangue e tessuti al laboratorio per l'esame e consulterò la documentazione dell'ospedale-\n\n[manca il resto di questo rapporto]"
NOTE_BART,,This city ain't safe anymore,Die Stadt ist nicht mehr sicher,Questa città non è più sicura
NOTE_TXT_BART,,"Harold,\n\nThis city ain't safe anymore.\nI say we leave as soon as we're able.\n\nJakyll from next door was in the tavern with me the other night. He were real uneasy, kept looking over his shoulder and whispering. Said he knew of secret they're keeping... something to do with them creatures what come out at night. I thought he'd just had too much ale, but that night I heard a real racket outside - broken windows, screaming, men yelling. Not seen him or his missues since, and his kids have gone. I reckon them Cowls were behind it.\n\nMaybe he were robbed. He has all them diamonds and gold hidden in his house, everyone knows that. I still reckon it were Darkmoon though. I ain't hanging around to find out though, I'm catching the next train out of here. It's this Friday at eleven, you should meet me at the station and come with me. Be careful where you walk at night too. Jakyll were saying something about Darkmoon symbols and the siren...\n\nI'll tell you more when we're on that train.\n\nBartholomay","Harold, \n\ndiese Stadt ist nicht mehr sicher. Ich sage, wir suchen so schnell wie möglich das Weite. \n\nJakyll von nebenan war neulich mit mir in der Kneipe. Er war sehr unruhig, schaute ständig über seine Schulter und flüsterte wirres Zeug. Er sagte, er wüsste von einem Geheimnis, das sie hüten... etwas, das mit den Kreaturen zu tun hat, die nachts wandeln. Ich dachte, er hätte nur zu viel Bier getrunken, aber in dieser Nacht hörte ich draußen einen ziemlichen Krach - zerbrochene Fenster, Wehklagen, schreiende Männer. Seitdem habe ich ihn und seine Frauen nicht mehr gesehen, und seine Kinder sind weg. Ich vermute, die Kutten stecken dahinter. Vielleicht wurde er ausgeraubt. Er hat all die Diamanten und das Gold in seinem Haus versteckt, jeder weiß das. Ich vermute, dass es Dunkelmond war. Ich werde aber nicht hierbleiben, um das herauszufinden, ich nehme den nächsten Zug von hier. Das ist diesen Freitag um elf, du solltest mich am Bahnhof treffen und mit mir kommen. Pass auch auf, wo du nachts lang läufst. Jakyll sagte etwas über Dunkelmondsymbole und die Sirene... Ich erzähle dir mehr, wenn wir im Zug sind. Bartholomay.",
NOTE_THAMUZ1,,Strange tome,Seltsamer Foliant,Strano tomo
NOTE_TXT_THAMUZ1,,\n\n\n\n\n[This tome appears to be written in an unreadable language],\n\n\n\n\n[Dieser Wälzer scheint in einer unleserlichen Sprache geschrieben zu sein],\n\n\n\n\n[Questo tomo sembra scritto in una lingua incomprensibile]
NOTE_THAMUZ2,,The Book of Thamuz,Der Foliant des Thamuz,Il Libro di Thamuz
NOTE_TXT_THAMUZ2,,"BOOK OF THAMUZ\n\nThe dark gates of Hades, their path sealed off from this land for aeons, may still yet be opened by way of a dimensional rift that remains in the fabric of our world. Through the use of this rift, one may invoke the name of the arch-demon, Thamuz and summon it to appear in material form.\n\nThe power of the arch-demon holds sway over a host of lesser demons, whose very essence is in thrall to it. Thus the fate of the lesser demon is inextricably linked to that of the arch-demon:\n\n'Kill the puppet-master, and his puppets will fall control the puppet-master, and his puppets thou shall command.'\n\nSummoning the arch-demon is achieved through the use of three artifacts within the site of the dimensional rift:\n\n\n\n\n\n- Gaul's Sands of Time, held within an ancient hourglass retained by the Waybearers of the Pandemonium Shadow Show, servants of the arch-demon for generations\n\n- The skull of Thamuz, the last physical remains of the arch-demon's material form in our world\n\n- A diamond of pure and flawless quality to act as a conduit between the other two artifacts.\n\nThrough these artifacts, Thamuz may rise to appear in our world once more.","FOLIANT DES THAMUZ\n\nDie dunklen Tore des Hades, deren Weg seit Äonen von diesem Land versperrt sind, können noch immer durch einen Dimensionsspalt geöffnet werden, der im Gefüge unserer Welt verbleibt. Durch diesen Spalt kann man den Namen des Erzdämons Thamuz anrufen und ihn beschwören, in materieller Form zu erscheinen.\n\nDie Macht des Dämons hat Einfluss auf eine Schar kleinerer Dämonen, deren Wesen ihm hörig ist. So ist das Schicksal des niederen Dämons untrennbar mit dem des Erzdämons verbunden: \n\n'Töte den Puppenspieler, und seine Puppen werden fallen, kontrolliere den Puppenspieler, und du wirst seine Puppen beherrschen. \n\nDie Beschwörung des Erzdämons wird durch drei Artefakte am Ort des Dimensionsspalts erreicht: \n\n\n\n\n- Gauls Sanduhr, die von den Wegbereitern der Pandemonium-Schatten-Ausstellung, den Dienern des Erzdämons seit Generationen, aufbewahrt wird\n\n- Der Schädel von Thamuz, die letzten physischen Überreste der materiellen Form des Erzdämons in unserer Welt\n\n- Ein Diamant von reiner und makelloser Qualität, der als Verbindung zwischen den beiden anderen Artefakten dient. \n\nDurch diese Artefakte kann Thamuz den Spalt durchqueren und noch einmal in unserer Welt erscheinen.",
NOTE_GRAVEMAP,,Cemetery map,Karte des Friedhofs,Mappa del Cimitero
NOTE_TXT_GRAVEMAP,,\n\n\n\n\n[A lone grave is marked on this map],\n\n\n\n\n[Auf dieser Karte ist ein einzelnes Grab markiert],
NOTE_HIDDENLAB,,Prof. Steiner's hidden lab,Prof. Steiners verstecktes Labor,Laboratorio segreto del Prof. Steiner
NOTE_TXT_HIDDENLAB,,"My dear Dr. Ricardo,\n\nI fear my life is in great danger and that I may not be long for this world. We must act quickly.\n\nI have uncovered information that implicates the accursed Darkmoon cult in the horror that has befallen our city. In their desire for greater power over our people they have descended to meddling in the arcane and unholy arts, summoning demons and other abominations to terrorise and subdue us to their will. Yet their ambition outmatched their expertise, and they have now lost all control over their vile creations, which now infest our city in ever-greater numbers.\n\nThey will surely silence me for discovering these crimes. I urge you to meet me at once, that I may convey all my knowledge regarding their sins to you - that you may yet escape this darkest of places and expose their heresy to the highest laws of man.\n\nCome to my laboratory across town, I am secured behind the hidden door in the office. You know where it is. Hurry and say a small prayer for an old friend's mortal soul, as I now say one for yours...\n\nProf. Frank Steiner","Mein lieber Dr. Ricardo, \n\nich fürchte, dass mein Leben in großer Gefahr ist und dass ich vielleicht nicht mehr lange auf dieser Welt bin. Wir müssen schnell handeln. Meine Nachforschungen haben Beweise ergeben, die den verfluchten Dunkelmond-Kult mit den Schrecken in Verbindung bringen, die unsere Stadt heimgesucht haben. In deren Streben nach Macht über unsere Bürger haben sie sich in den arkanen und okkulten Künste versucht und Dämonen und andere Abscheulichkeiten beschworen, die uns terrorisieren und ihrem Willen zu unterwerfen versuchen. Doch der Ehrgeiz war größer als ihre Ehrfurcht, und so haben sie nun jegliche Kontrolle über ihr Werk verloren: eine immer größerer Zahl an Wesen, die unsere Stadt befallen.\n\ Die Kutten werden mich sicher zum Schweigen bringen, wenn ich diese Verbrechen öffentlich anprangere. Ich fordere Euch auf, mich sofort zu treffen, damit ich Euch all mein Wissen teilen kann - damit Ihr diesem dunkelsten aller Orte entkommen und deren Ketzerei vor den höchsten Gesetzen der Menschheit bloßstellen könnt.\n\nBesucht mich in meinem Labor am anderen Ende der Stadt, ich bin hinter der Geheimtür im Büro sicher. Ihr wisst, wo sie ist. Beeilt Euch und sprecht Gebete für die sterblichen Seelen, so wie ich jetzt eines für die unseren spreche...\n\nProf. Frank Steiner",
NOTE_CHURCHNOTICE,,Church closure notice,Mitteilung über die Schließung der Kirche,Avviso di chiusura della chiesa
NOTE_TXT_CHURCHNOTICE,,"NOTICE\n\nWhile the recent disappearances and deaths continue to plague us, the church shall remain closed. Please return to a safe place, and may God bless and watch over you all.\n\nSigned,\nProf. Frank Steiner","HINWEIS\n\nSolange uns das Verschwinden und die Todesfälle der letzten Zeit plagen, bleibt die Kirche geschlossen. Bitte kehrt  an einen sicheren Ort zurück, und möge Gott euch alle segnen und über euch wachen.\n\nGezeichnet,\nProf. Frank Steiner",
NOTE_PROFDEAD,,Prof. Steiner's final note,Prof. Steiners letzten Worte,Scritto finale del Prof. Steiner
NOTE_TXT_PROFDEAD,,"Ricardo, I pray this note finds you safe.\nIf you are reading it, I am dead. As I write, a mob of Darkmoon are ransacking my office. They've come to silence me, just as I knew they would. May they be struck down to Hell for their transgressions!\n\nI will go to God in the knowledge that they will never find what they desperately need. I've secured the skull within the church, and activated the trap. Now they will learn the wrath of our Lord, who shall smite all trespassers in his house! Such base and godless beings shall never deduce the means to bypass the trap.\n\nNo, they will never retrieve the skull! Thus they shall never summon the accursed Thamuz to regain control over their vermin! The Lord alone shall ju--\n\n[the writer perished before he was able to finish writing, leaving a bloody stain on the letter]","Ricardo, ich bete, dass du diese Nachricht sicher findest. Wenn du sie liest, bin ich tot. Während ich schreibe, durchwühlt ein Mob der Dunkelmond-Agnhänger mein Büro. Sie sind gekommen, um mich zum Schweigen zu bringen, genau wie ich es befürchtet hatte. Mögen sie für ihre Vergehen in die Hölle hinabgestoßen werden!\n\Ich werde zu Gott gehen in dem Wissen, dass sie niemals finden werden, was sie verzweifelt brauchen. Ich habe den Schädel in der Kirche gesichert und die Falle aktiviert. Jetzt werden sie den Zorn unseres Herrn kennenlernen, der alle Eindringlinge in seinem Haus zerschmettern wird! Solche niederen und gottlosen Wesen werden niemals herausfinden, wie man die Falle umgehen kann. Nein, sie werden den Schädel niemals zurückholen! Sie niemals den verfluchten Thamuz herbeirufen, um die Kontrolle über ihr Ungeziefer zurückzugewinnen! Der Herr allein wird sie richten... [der Autor starb, bevor er zu Ende schreiben konnte, und hinterließ einen blutigen Fleck auf dem Brief]",
NOTE_MOONSHELTER,,Moon shelter notice,Bekanntmachung zum Mondunterschlupf,Avviso del Rifugio lunare
NOTE_TXT_MOONSHELTER,,"ATTENTION\n\nIf the siren sounds, all Consortium members must IMMEDIATELY retreat to the nearest Moon Shelter. Do not attempt to retrieve personal belongings or delay in any way.\n\nTrespassers found within the Moon Shelters will be punished severely.\n\nBy order of the Council of Darkmoon","ACHTUNG\n\nWenn die Sirene ertönt, müssen sich alle Mitglieder des Konsortiums SOFORT in den nächstgelegenen Mondunterschlupf zurückziehen. Versucht nicht, persönliche Gegenstände zu holen oder auf irgendeine Weise zu verzögern.\n\nUnbefugte in den Schutzräumen werden streng bestraft.\n\nAuf Befehl des Rates von Dunkelmond",
NOTE_CONFISCATE,,Confiscated materials,Beschlagnahmte Schriften,Beni confiscati
NOTE_TXT_CONFISCATE,,"For the attention of:\nF. Pickman (Chief Librarian)\n\nBy order of the Council of Darkmoon, we hereby confiscate all materials relating to:\n\n- demonology\n- medical science\n- translation of ancient manuscripts/artifacts\n\nShould you receive any further shipments of such material, you are ordered to surrender them, in full, to Council officials immediately.\n\nCouncil of Darkmoon","Zu Händen von:\nF. Pickman (Chefbibliothekar)\n\nAuf Anordnung des Rates von Dunkelmond beschlagnahmen wir hiermit alle Schriften, die sich auf folgendes beziehen:\n\n- Dämonologie\n- Medizinische Wissenschaft\n- Übersetzung von alten Manuskripten/Artefakten\n\nSolltet ihr weitere Sendungen mit solchem Material erhalten, werdet ihr angewiesen, diese unverzüglich und vollständig den Beamten des Rates zu übergeben.\n\nRat von Dunkelmond",
NOTE_TRANSBOOKNOTE,,Steven's private book collection,Stevens private Büchersammlung,Collezione privata dei libri di Steven
NOTE_TXT_TRANSBOOKNOTE,,"Nigel,\nI spoke to Francois at the library like I said, and he told me the damned Cowls have raided the place already! They took every last book about the occult and medicine, said they're 'not for the ignorant'... what are they doing? It's like they're afraid of books or something...\n\nWell, the maniacs can't get at my own private collection. If you still need what we talked about, come to my house later.\n\nSincerely, Steven","Nigel,\nIch habe mit Francois in der Bibliothek gesprochen, wie ich schon sagte, und er hat mir mitgeteilt, dass die verdammten Kutten bereits eine Plünderung durchgeführt haben! Sie haben jedes einzelne Buch über das Okkulte und über Medizin mitgenommen und gesagt, dass sie 'nicht für die Unwissenden' sind... was machen die da? Es ist, als hätten sie Angst vor Büchern oder so... Naja, die ganzen Irren kommen nicht an meine eigene Privatsammlung. Wenn du immer noch brauchst, worüber wir geredet haben, komm später zu mir ins Herrenhaus. Hochachtungsvoll, Steven.",
NOTE_JAKYLL,,On Darkmoon and the siren,Zu Dunkelmond und der Sirene,Su LunaOscura e la Sirena
